time	elapsed_min	concurrency	active	done	queued
18:19:27	91.6	10	10	0	0
18:19:57	92.1	10	10	0	0
18:20:27	92.6	10	10	0	0
18:20:57	93.1	10	10	0	0
18:21:27	93.6	10	10	0	0
18:21:57	94.1	10	10	0	0
18:22:27	94.6	10	10	0	0
18:22:57	95.1	10	10	0	0
18:23:27	95.6	10	10	0	0
18:23:57	96.1	10	10	0	0
18:24:27	96.6	10	10	0	0
18:24:57	97.1	10	10	0	0
18:25:27	97.6	10	10	0	0
18:25:57	98.1	10	10	0	0
18:26:27	98.6	10	10	0	0
18:26:57	99.1	10	10	0	0
18:27:27	99.6	10	10	0	0
18:27:57	100.1	10	10	0	0
18:28:27	100.6	10	10	0	0
18:28:57	101.1	10	10	0	0
18:29:27	101.6	10	10	0	0
18:29:57	102.1	10	10	0	0
18:30:27	102.6	10	10	0	0
18:30:57	103.1	10	10	0	0
18:31:27	103.6	10	10	0	0
18:31:57	104.1	10	10	0	0
18:32:27	104.6	10	10	0	0
18:32:57	105.1	10	10	0	0
18:33:27	105.6	10	10	0	0
18:33:57	106.1	10	10	0	0
18:34:27	106.6	10	10	0	0
18:34:58	107.1	10	10	0	0
18:35:28	107.6	10	10	0	0
18:35:58	108.1	10	10	0	0
18:36:28	108.6	10	10	0	0
18:36:58	109.1	10	10	0	0
18:37:28	109.6	10	10	0	0
18:37:58	110.1	10	10	0	0
18:38:28	110.6	10	10	0	0
18:38:58	111.1	10	10	0	0
18:39:28	111.6	10	10	0	0
18:39:58	112.1	10	10	0	0
18:40:28	112.6	10	10	0	0
18:40:58	113.1	10	10	0	0
18:41:28	113.6	10	10	0	0
18:41:58	114.1	10	10	0	0
18:42:28	114.6	10	10	0	0
18:42:58	115.1	10	10	0	0
18:43:28	115.6	10	10	0	0
18:43:58	116.1	10	10	0	0
18:44:28	116.6	10	10	0	0
18:44:58	117.1	10	10	0	0
18:45:28	117.6	10	10	0	0
18:45:58	118.1	10	10	0	0
18:46:28	118.6	10	10	0	0
18:46:58	119.1	10	10	0	0
18:47:28	119.6	10	10	0	0
18:47:58	120.1	10	10	0	0
18:48:28	120.6	10	10	0	0
18:48:58	121.1	10	10	0	0
18:49:28	121.6	10	10	0	0
18:49:58	122.1	10	10	0	0
18:50:28	122.6	10	10	0	0
18:50:58	123.1	10	10	0	0
18:51:28	123.6	10	10	0	0
18:51:59	124.1	10	10	0	0
18:52:29	124.6	10	10	0	0
18:52:59	125.1	10	10	0	0
18:53:29	125.6	10	10	0	0
18:53:59	126.1	10	10	0	0
18:54:29	126.6	10	10	0	0
18:54:59	127.1	10	10	0	0
18:55:29	127.6	10	10	0	0
18:55:59	128.1	10	10	0	0
18:56:29	128.6	10	10	0	0
18:56:59	129.1	10	10	0	0
18:57:29	129.6	10	10	0	0
18:57:59	130.1	10	10	0	0
18:58:29	130.6	10	10	0	0
18:58:59	131.1	10	10	0	0
18:59:29	131.6	10	10	0	0
18:59:59	132.1	10	10	0	0
19:00:29	132.6	10	10	0	0
19:00:59	133.1	10	10	0	0
19:01:29	133.6	10	10	0	0
19:01:59	134.1	10	10	0	0
19:02:29	134.6	10	10	0	0
19:02:59	135.1	10	10	0	0
19:03:29	135.6	10	10	0	0
19:03:59	136.1	10	10	0	0
19:04:29	136.6	10	10	0	0
19:04:59	137.1	10	10	0	0
19:05:29	137.6	10	10	0	0
19:05:59	138.1	10	10	0	0
19:06:29	138.6	10	10	0	0
19:06:59	139.1	10	10	0	0
19:07:29	139.6	10	10	0	0
19:07:59	140.1	10	10	0	0
19:08:30	140.6	10	10	0	0
19:09:00	141.1	10	10	0	0
19:09:30	141.6	10	10	0	0
19:10:00	142.1	10	10	0	0
19:10:30	142.6	10	10	0	0
19:11:00	143.1	10	10	0	0
19:11:30	143.6	10	10	0	0
19:12:00	144.1	10	10	0	0
19:12:30	144.6	10	10	0	0
19:13:00	145.1	10	10	0	0
19:13:30	145.6	10	10	0	0
19:14:00	146.1	10	10	0	0
19:14:30	146.6	10	10	0	0
19:15:00	147.1	10	10	0	0
19:15:30	147.6	10	10	0	0
19:16:00	148.1	10	10	0	0
19:16:30	148.6	10	10	0	0
19:17:00	149.1	10	10	0	0
19:17:30	149.6	10	10	0	0
19:18:00	150.1	10	10	0	0
19:18:30	150.6	10	10	0	0
19:19:00	151.1	10	10	0	0
19:19:30	151.6	10	10	0	0
19:20:00	152.1	10	10	0	0
19:20:30	152.7	10	10	0	0
19:21:00	153.2	10	10	0	0
19:21:30	153.7	10	10	0	0
19:22:00	154.2	10	10	0	0
19:22:30	154.7	10	10	0	0
19:23:00	155.2	10	10	0	0
19:23:30	155.7	10	10	0	0
19:24:00	156.2	10	10	0	0
19:24:30	156.7	10	10	0	0
19:25:00	157.2	10	10	0	0
19:25:30	157.7	10	10	0	0
19:26:01	158.2	10	10	0	0
19:26:31	158.7	10	10	0	0
19:27:01	159.2	10	10	0	0
19:27:31	159.7	10	10	0	0
19:28:01	160.2	10	10	0	0
19:28:31	160.7	10	10	0	0
19:29:01	161.2	10	10	0	0
19:29:31	161.7	10	10	0	0
19:30:01	162.2	10	10	0	0
19:30:31	162.7	10	10	0	0
19:31:01	163.2	10	10	0	0
19:31:31	163.7	10	10	0	0
19:32:01	164.2	10	10	0	0
19:32:31	164.7	10	10	0	0
19:33:01	165.2	10	10	0	0
19:33:31	165.7	10	10	0	0
19:34:01	166.2	10	10	0	0
19:34:31	166.7	10	10	0	0
19:35:01	167.2	10	10	0	0
19:35:31	167.7	10	10	0	0
19:36:01	168.2	10	10	0	0
19:36:31	168.7	10	10	0	0
19:37:01	169.2	10	10	0	0
19:37:31	169.7	10	10	0	0
19:38:01	170.2	10	10	0	0
19:38:31	170.7	10	10	0	0
19:39:01	171.2	10	10	0	0
19:39:31	171.7	10	10	0	0
19:40:01	172.2	10	10	0	0
19:40:31	172.7	10	9	1	0
19:41:01	173.2	10	9	1	0
19:41:31	173.7	10	9	1	0
19:42:01	174.2	10	8	2	0
19:42:31	174.7	10	8	2	0
19:43:01	175.2	10	8	2	0
19:43:31	175.7	10	8	2	0
19:44:02	176.2	10	8	2	0
19:44:32	176.7	10	8	2	0
19:45:02	177.2	10	8	2	0
19:45:32	177.7	10	8	2	0
19:46:02	178.2	10	8	2	0
19:46:32	178.7	10	8	2	0
19:47:02	179.2	10	8	2	0
19:47:32	179.7	10	8	2	0
19:48:02	180.2	10	8	2	0
19:48:32	180.7	10	8	2	0
19:49:02	181.2	10	8	2	0
19:49:32	181.7	10	8	2	0
19:50:02	182.2	10	8	2	0
19:50:32	182.7	10	8	2	0
19:51:02	183.2	10	8	2	0
19:51:32	183.7	10	8	2	0
19:52:02	184.2	10	8	2	0
19:52:32	184.7	10	8	2	0
19:53:02	185.2	10	8	2	0
19:53:32	185.7	10	8	2	0
19:54:02	186.2	10	8	2	0
19:54:32	186.7	10	8	2	0
19:55:02	187.2	10	8	2	0
19:55:32	187.7	10	7	3	0
19:56:02	188.2	10	7	3	0
19:56:32	188.7	10	7	3	0
19:57:02	189.2	10	7	3	0
19:57:32	189.7	10	7	3	0
19:58:02	190.2	10	7	3	0
19:58:32	190.7	10	7	3	0
19:59:02	191.2	10	7	3	0
19:59:32	191.7	10	7	3	0
20:00:02	192.2	10	7	3	0
20:00:32	192.7	10	7	3	0
20:01:02	193.2	10	7	3	0
20:01:33	193.7	10	7	3	0
20:02:03	194.2	10	7	3	0
20:02:33	194.7	10	7	3	0
20:03:03	195.2	10	7	3	0
20:03:33	195.7	10	7	3	0
20:04:03	196.2	10	7	3	0
20:04:33	196.7	10	7	3	0
20:05:03	197.2	10	7	3	0
20:05:33	197.7	10	4	6	0
20:06:03	198.2	10	4	6	0
20:06:33	198.7	10	4	6	0
20:07:03	199.2	10	4	6	0
20:07:33	199.7	10	3	7	0
20:08:03	200.2	10	3	7	0
20:08:33	200.7	10	3	7	0
20:09:03	201.2	10	3	7	0
20:09:33	201.7	10	3	7	0
20:10:03	202.2	10	3	7	0
20:10:33	202.7	10	3	7	0
20:11:03	203.2	10	3	7	0
20:11:33	203.7	10	3	7	0
20:12:03	204.2	10	3	7	0
20:12:33	204.7	10	3	7	0
20:13:03	205.2	10	3	7	0
20:13:33	205.7	10	2	8	0
20:14:03	206.2	10	2	8	0
20:14:33	206.7	10	2	8	0
20:15:03	207.2	10	2	8	0
20:15:33	207.7	10	2	8	0
20:16:03	208.2	10	1	9	0
20:16:33	208.7	10	1	9	0
20:17:03	209.2	10	1	9	0
20:17:33	209.7	10	1	9	0
20:18:04	210.2	10	1	9	0
20:18:34	210.7	10	1	9	0
20:19:04	211.2	10	1	9	0
20:19:34	211.7	10	1	9	0
20:20:04	212.2	10	1	9	0
20:20:34	212.7	10	1	9	0
20:21:04	213.2	10	1	9	0
20:21:34	213.7	10	1	9	0
20:22:04	214.2	10	1	9	0
20:22:34	214.7	10	1	9	0
20:23:04	215.2	10	1	9	0
20:23:34	215.7	10	1	9	0
20:24:04	216.2	10	1	9	0
20:24:34	216.7	10	1	9	0
20:25:04	217.2	10	1	9	0
20:25:34	217.7	10	1	9	0
20:26:04	218.2	10	1	9	0
20:26:34	218.7	10	1	9	0
20:27:04	219.2	10	1	9	0
20:27:34	219.7	10	1	9	0
20:28:04	220.2	10	1	9	0
20:28:34	220.7	10	1	9	0
20:29:04	221.2	10	1	9	0
20:29:34	221.7	10	1	9	0
20:30:04	222.2	10	1	9	0
20:30:34	222.7	10	1	9	0
20:31:04	223.2	10	1	9	0
20:31:34	223.7	10	1	9	0
20:32:04	224.2	10	1	9	0
20:32:34	224.7	10	1	9	0
20:33:04	225.2	10	1	9	0
20:33:34	225.7	10	1	9	0
20:34:04	226.2	10	1	9	0
